time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-23 9:46:35:879	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.24	-38.72	-179.77	-0.167	-48.692	203.117	-0.22717	0.24014	0.64569	0.68823	26.4	10080.1.13	60
2024-12-23 9:46:35:997	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.31	-36.41	179.97	-0.167	-48.692	203.117	-0.22717	0.24014	0.64569	0.68823	26.4	10080.1.13	60
2024-12-23 9:46:36:83	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.23	-33.43	179.76	-2.008	-48.208	208.592	-0.22717	0.24014	0.64569	0.68823	26.4	10080.1.13	60
2024-12-23 9:46:36:195	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.99	-30.98	179.73	-2.008	-48.208	208.592	-0.22717	0.24014	0.64569	0.68823	26.4	10080.1.13	60
2024-12-23 9:46:36:299	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.84	-28.38	179.68	-2.008	-48.208	208.592	-0.15924	0.17572	0.66122	0.71164	26.4	10080.1.13	60
2024-12-23 9:46:36:395	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.87	-26.64	179.66	-2.008	-48.208	208.592	-0.15924	0.17572	0.66122	0.71164	26.4	10080.1.13	60
2024-12-23 9:46:36:508	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.73	-27.92	179.99	-1.450	-49.333	213.083	-0.15924	0.17572	0.66122	0.71164	26.4	10080.1.13	60
2024-12-23 9:46:36:621	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.66	-30.82	-179.71	-1.450	-49.333	213.083	-0.15924	0.17572	0.66122	0.71164	26.4	10080.1.13	60
2024-12-23 9:46:36:688	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.60	-33.51	-179.45	-1.450	-49.333	213.083	-0.22202	0.23050	0.64487	0.69400	26.4	10080.1.13	60
2024-12-23 9:46:36:800	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.48	-39.65	-179.02	-1.450	-49.333	213.083	-0.22202	0.23050	0.64487	0.69400	26.4	10080.1.13	60
